# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	7638	8066	+	JJLLKI_00011	sscB	SycD/LcrH family type III secretion system chaperone SscB	BlastRules:WP_000979963, SO:0001217, UniRef:UniRef50_H9L491, UniRef:UniRef90_H9L491
contig_1	cds	8082	8864	+	JJLLKI_00012	sseF	type III secretion system effector SseF	RefSeq:WP_001580222.1, SO:0001217, UniParc:UPI00023060D3, UniRef:UniRef100_A0A0C5PNG2, UniRef:UniRef50_H9L407, UniRef:UniRef90_H9L407, VFDB:VFC0086, VFDB:VFG000505
contig_1	cds	8861	9550	+	JJLLKI_00013	sseG	type III secretion system effector SseG	RefSeq:WP_058115895.1, SO:0001217, UniParc:UPI0002E055E9, UniRef:UniRef100_A0A0C5PLR3, UniRef:UniRef50_H9L486, UniRef:UniRef90_H9L486, VFDB:VFC0086, VFDB:VFG000506
contig_1	cds	9644	9859	+	JJLLKI_00014	ssaG	type III secretion system needle filament protein SsaG	BlastRules:WP_000350226, GO:0005576, GO:0009986, GO:0030254, GO:0030257, RefSeq:WP_000350227.1, SO:0001217, UniParc:UPI00023060D1, UniRef:UniRef100_A0A5Y2QGU0, UniRef:UniRef50_H9L4C5, UniRef:UniRef90_H9L4C5
contig_1	cds	9837	10127	+	JJLLKI_00015		EscG/YscG/SsaH family type III secretion system needle protein co-chaperone	RefSeq:WP_000444713.1, SO:0001217, UniParc:UPI00004F7BD6, UniRef:UniRef100_A0A4Z0P980, UniRef:UniRef50_A9MEL1, UniRef:UniRef90_A0A4Z0P980
contig_1	cds	10124	10387	+	JJLLKI_00016	ssaI	SctI family type III secretion system inner rod subunit SsaI	BlastRules:WP_001574409, SO:0001217, UniParc:UPI00023060D0, UniRef:UniRef100_A0A6C8GMG6, UniRef:UniRef50_A9MEL0, UniRef:UniRef90_H9L496
contig_1	cds	10486	11133	+	JJLLKI_00017	ssaJ	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein SsaJ	GO:0009279, GO:0009306, KEGG:K03222, SO:0001217, UniParc:UPI0002E3C691, UniRef:UniRef100_A0A1X8WFU3, UniRef:UniRef50_P74852, UniRef:UniRef90_P74852
contig_1	cds	11448	11699	+	JJLLKI_00018		Pathogenicity island protein	SO:0001217, UniParc:UPI0003E53F31, UniRef:UniRef100_A0A455RTX6, UniRef:UniRef50_A0A455RTX6, UniRef:UniRef90_A0A455RTX6
contig_1	cds	11696	12370	+	JJLLKI_00019	ssaK	SPI-2 type III secretion system apparatus protein SsaK	BlastRules:WP_000011201, GO:0005737, GO:0030254, GO:0030430, GO:0033644, RefSeq:WP_023234465.1, SO:0001217, UniParc:UPI0002E4F635, UniRef:UniRef100_A0A623MBS3, UniRef:UniRef50_P74853, UniRef:UniRef90_P74853
contig_1	cds	12360	13352	+	JJLLKI_00020	ssaL	SPI-2 type III secretion system apparatus protein SsaL	BlastRules:WP_000238877, GO:0015031, GO:0019867, GO:0046903, SO:0001217, UniParc:UPI00030D0F86, UniRef:UniRef100_A0A5W7Z9E6, UniRef:UniRef50_P74854, UniRef:UniRef90_P74854
contig_1	cds	13410	13778	+	JJLLKI_00021	ssaM	SPI-2 type III secretion system apparatus protein SsaM	BlastRules:WP_000383702, GO:0015031, RefSeq:WP_000383700.1, SO:0001217, UniParc:UPI000048ECDE, UniRef:UniRef100_A0A4Z0P9S9, UniRef:UniRef50_P74855, UniRef:UniRef90_P74855
contig_1	cds	13763	15808	+	JJLLKI_00022	ssaV	SPI-2 type III secretion system apparatus protein SsaV	BlastRules:WP_001258231, GO:0005886, GO:0009306, KEGG:K03230, RefSeq:WP_001258216.1, SO:0001217, UniParc:UPI0001AF3A7F, UniRef:UniRef100_A0A637XTH6, UniRef:UniRef50_P74856, UniRef:UniRef90_P74856
contig_1	cds	15798	17099	+	JJLLKI_00023	ssaN	SctN family type III secretion system ATPase SsaN	BlastRules:WP_000787213, EC:7.1.2.2, EC:7.4.2.8, GO:0005524, GO:0005737, GO:0008564, GO:0015986, GO:0016887, GO:0030254, GO:0030257, GO:0030430, GO:0033644, GO:0045261, GO:0046961, GO:0050714, GO:0051087, RefSeq:WP_000787216.1, SO:0001217, UniParc:UPI0001811B1C, UniRef:UniRef100_A0A3Z3G805, UniRef:UniRef50_P74857, UniRef:UniRef90_P74857
contig_1	cds	17048	17479	+	JJLLKI_00024	ssaO	SPI-2 type III secretion system apparatus protein SsaO	GO:0015031, SO:0001217, UniParc:UPI00004F7BDF, UniRef:UniRef100_P74858, UniRef:UniRef50_P74858, UniRef:UniRef90_P74858
contig_1	cds	17460	17834	+	JJLLKI_00025	ssaP	SPI-2 type III secretion system apparatus protein SsaP	BlastRules:WP_001223304, GO:0015031, RefSeq:WP_001223304.1, SO:0001217, UniParc:UPI0000059E07, UniRef:UniRef100_P0A239, UniRef:UniRef50_P0A239, UniRef:UniRef90_P0A239
contig_1	cds	17815	18783	+	JJLLKI_00026	ssaQ	SPI-2 type III secretion system cytoplasmic ring protein SsaQ	BlastRules:WP_000944192, GO:0003774, GO:0009425, GO:0030254, GO:0030430, GO:0033644, GO:0050918, GO:0071978, KEGG:K03225, RefSeq:WP_000944191.1, SO:0001217, UniParc:UPI00016C1903, UniRef:UniRef100_A0A632MWA8, UniRef:UniRef50_P74860, UniRef:UniRef90_P74860
contig_1	cds	18851	19498	+	JJLLKI_00027	ssaR	SPI-2 type III secretion system export apparatus protein SsaR	BlastRules:WP_000056367, GO:0005886, GO:0009306, GO:0015031, GO:0016020, GO:0030254, GO:0030257, RefSeq:WP_000056367.1, SO:0001217, UniParc:UPI000013C09E, UniRef:UniRef100_P74890, UniRef:UniRef50_P69980, UniRef:UniRef90_P74890
contig_1	cds	19495	19761	+	JJLLKI_00028	ssaS	SPI-2 type III secretion system apparatus protein SsaS	BlastRules:WP_000999982, GO:0005886, GO:0009306, KEGG:K03227, RefSeq:WP_000999982.1, SO:0001217, UniParc:UPI0000135F90, UniRef:UniRef100_P74891, UniRef:UniRef50_P74891, UniRef:UniRef90_P74891
contig_1	cds	19762	20541	+	JJLLKI_00029	ssaT	SPI-2 type III secretion system apparatus protein SsaT	BlastRules:WP_000068764, GO:0005886, GO:0006605, GO:0015031, KEGG:K03228, RefSeq:WP_000068762.1, SO:0001217, UniParc:UPI00024F1EDB, UniRef:UniRef100_A0A3R0L8V6, UniRef:UniRef50_P96068, UniRef:UniRef90_P96068
contig_1	cds	20538	21596	+	JJLLKI_00030	ssaU	SPI-2 type III secretion system apparatus protein SsaU	BlastRules:WP_001291716, RefSeq:WP_001291721.1, SO:0001217, UniParc:UPI00016A0F7F, UniRef:UniRef100_A0A5W5CWY7, UniRef:UniRef90_P96069
contig_1	tRNA	21754	21830	-	JJLLKI_00031	trnV	tRNA-Val(gac)	SO:0000273
contig_1	tRNA	21841	21917	-	JJLLKI_00032	trnV	tRNA-Val(gac)	SO:0000273
contig_1	cds	22069	23442	-	JJLLKI_00033	mdtK	MdtK family multidrug efflux MATE transporter	BlastRules:WP_001175077, COG:COG0534, COG:V, GO:0005886, GO:0006814, GO:0006855, GO:0015297, GO:0016020, GO:0042910, GO:0046677, RefSeq:WP_077464038.1, SO:0001217, UniParc:UPI0009860DDA, UniRef:UniRef100_A0A5I4TUA3, UniRef:UniRef50_P37340, UniRef:UniRef90_Q8ZPP2
contig_1	cds	23659	24300	+	JJLLKI_00034		riboflavin synthase subunit alpha	EC:2.5.1.9, KEGG:K00793, RefSeq:WP_000493971.1, SO:0001217, UniParc:UPI00000CD078, UniRef:UniRef100_Q8ZPP1, UniRef:UniRef50_P0AFU8, UniRef:UniRef90_Q8ZPP1
contig_1	cds	24342	25490	-	JJLLKI_00035	cfa	cyclopropane fatty acyl phospholipid synthase	EC:2.1.1.79, KEGG:K00574, RefSeq:WP_000098879.1, SO:0001217, UniParc:UPI0000059E0F, UniRef:UniRef100_Q7CQL0, UniRef:UniRef50_P0A9H7, UniRef:UniRef90_Q7CQL0
contig_1	cds	25780	26985	-	JJLLKI_00036	punC	purine nucleoside transporter PunC	GO:0016020, GO:0042910, GO:1990961, KEGG:K07552, RefSeq:WP_001182315.1, SO:0001217, UniParc:UPI00016C1F26, UniRef:UniRef100_A0A5W7MRP3, UniRef:UniRef50_P37597, UniRef:UniRef90_Q8ZPP0
contig_1	cds	27098	28030	+	JJLLKI_00037	punR	DNA-binding transcriptional activator PunR	GO:0003700, GO:0006355, RefSeq:WP_000269513.1, SO:0001217, UniParc:UPI00023060C1, UniRef:UniRef100_A0A5W5H2Y5, UniRef:UniRef50_P0ACR2, UniRef:UniRef90_A9MEJ2
contig_1	cds	28027	29052	-	JJLLKI_00038	purR	HTH-type transcriptional repressor PurR	COG:COG1609, COG:K, GO:0000976, GO:0003677, GO:0003700, GO:0006164, GO:0006355, GO:0045892, RefSeq:WP_000190992.1, SO:0001217, UniParc:UPI0000059E12, UniRef:UniRef100_B5F6L7, UniRef:UniRef50_P0ACP7, UniRef:UniRef90_O68446
contig_1	ncRNA	29053	29440	+	JJLLKI_00039	STnc550	Enterobacterial sRNA STnc550	RFAM:RF02081, SO:0000655
contig_1	cds	29348	29437	+	JJLLKI_00040	ynhF	YnhF family membrane protein	RefSeq:WP_000102277.1, SO:0001217, UniParc:UPI000169E83E, UniRef:UniRef100_A0A3Z4JJZ7, UniRef:UniRef50_R8WW16, UniRef:UniRef90_A0A6N3G5A6
contig_1	cds	29520	30101	-	JJLLKI_00041	sodB	superoxide dismutase [Fe]	COG:COG0605, COG:P, EC:1.15.1.1, GO:0004784, GO:0006801, GO:0046872, KEGG:K04564, RefSeq:WP_000007299.1, SO:0001217, UniParc:UPI0000059E13, UniRef:UniRef100_P0A2F4, UniRef:UniRef50_P0A2F4, UniRef:UniRef90_P0A2F4
contig_1	cds	30228	31049	-	JJLLKI_00042		Endopeptidase	EC:3.4.-.-, KEGG:K19303, RefSeq:WP_058805535.1, SO:0001217, UniParc:UPI0007361D29, UniRef:UniRef100_UPI0007361D29, UniRef:UniRef50_P76190, UniRef:UniRef90_A0A447R4Y7
contig_1	cds	31385	31732	+	JJLLKI_00043	grxD	monothiol glutaredoxin 4	BlastRules:WP_000108172, COG:COG0278, COG:O, GO:0005737, GO:0015036, GO:0016491, GO:0046872, GO:0051537, RefSeq:WP_000108176.1, SO:0001217, UniParc:UPI0000059E15, UniRef:UniRef100_Q7CQK9, UniRef:UniRef50_P0AC69, UniRef:UniRef90_P0AC69
contig_1	cds	31810	32457	-	JJLLKI_00044	rnt	ribonuclease T	EC:3.1.13.-, GO:0000287, GO:0003676, GO:0005829, GO:0006364, GO:0008033, GO:0008408, GO:0016896, GO:0042780, GO:0045004, KEGG:K03683, RefSeq:WP_001282270.1, SO:0001217, UniParc:UPI0001603A15, UniRef:UniRef100_A9MEI6, UniRef:UniRef50_P30014, UniRef:UniRef90_P66684
contig_1	cds	32558	32965	-	JJLLKI_00045	gloA	lactoylglutathione lyase	COG:COG0346, COG:Q, EC:4.4.1.5, GO:0004462, GO:0005737, GO:0005829, GO:0009636, GO:0016151, GO:0019243, GO:0042803, RefSeq:WP_001237787.1, SO:0001217, UniParc:UPI0000059E17, UniRef:UniRef100_P0A1Q2, UniRef:UniRef50_P0AC81, UniRef:UniRef90_P0AC81
contig_1	cds	33034	34131	-	JJLLKI_00046		N-ethylmaleimide reductase	RefSeq:WP_077464040.1, SO:0001217, UniParc:UPI0009869197, UniRef:UniRef100_A0A5H9Y8F9, UniRef:UniRef50_P77258, UniRef:UniRef90_A0A2B7MLQ1
contig_1	cds	34190	34789	-	JJLLKI_00047		HTH tetR-type domain-containing protein	RefSeq:WP_001580170.1, SO:0001217, UniParc:UPI000230A902, UniRef:UniRef100_A0A6C8GMS5, UniRef:UniRef50_P67430, UniRef:UniRef90_A9MEI3
contig_1	cds	34892	35131	+	JJLLKI_00048		DUF1289 domain-containing protein	RefSeq:WP_001519323.1, SO:0001217, UniParc:UPI00000CD07C, UniRef:UniRef100_Q8ZPN6, UniRef:UniRef50_Q8CW10, UniRef:UniRef90_B5RAM1
contig_1	cds	35182	36078	+	JJLLKI_00049		Oxidoreductase	RefSeq:WP_000250721.1, SO:0001217, UniParc:UPI000048ECCF, UniRef:UniRef100_A0A626AV34, UniRef:UniRef50_P42972, UniRef:UniRef90_A0A2I5HH60
contig_1	cds	36158	36679	+	JJLLKI_00050	sodC	superoxide dismutase [Cu-Zn] SodC	EC:1.15.1.1, GO:0004784, GO:0005507, GO:0019430, GO:0042597, RefSeq:WP_000826813.1, SO:0001217, UniParc:UPI000048ECCE, UniRef:UniRef100_A0A379S3A0, UniRef:UniRef50_P0CW86, UniRef:UniRef90_O68901
contig_1	cds	36655	38694	-	JJLLKI_00051	ydhK	Uncharacterized transporter YdhK	GO:0005886, GO:0022857, RefSeq:WP_000777626.1, SO:0001217, UniParc:UPI000048ECCD, UniRef:UniRef100_A0A5I3K8E5, UniRef:UniRef50_P76186, UniRef:UniRef90_Q8ZPN4
contig_1	cds	38694	39554	-	JJLLKI_00052		Membrane fusion protein biotin-lipoyl like domain-containing protein	RefSeq:WP_001538147.1, SO:0001217, UniParc:UPI00016BE94E, UniRef:UniRef100_A0A5W7MNI4, UniRef:UniRef50_A0A8E1RNN9, UniRef:UniRef90_A0A6C6Z0Y6
contig_1	cds	39557	39793	-	JJLLKI_00053		DUF1656 domain-containing protein	RefSeq:WP_000649755.1, SO:0001217, UniParc:UPI00000CD07F, UniRef:UniRef100_Q8ZPN2, UniRef:UniRef50_P64471, UniRef:UniRef90_G5LP83
contig_1	cds	39994	40428	+	JJLLKI_00054	slyA	transcriptional regulator SlyA	GO:0003677, GO:0003700, GO:0006355, GO:0006950, SO:0001217, UniParc:UPI000169FA66, UniRef:UniRef100_A0A447MT96, UniRef:UniRef50_P40676, UniRef:UniRef90_P40676
contig_1	cds	40476	40943	-	JJLLKI_00055	slyB	outer membrane lipoprotein SlyB	BlastRules:WP_000597179, COG:COG3133, COG:M, GO:0009279, KEGG:K06077, RefSeq:WP_000597179.1, SO:0001217, UniParc:UPI0000059E21, UniRef:UniRef100_P0A1X0, UniRef:UniRef50_P31484, UniRef:UniRef90_P0A1X0
contig_1	cds	41215	42336	+	JJLLKI_00056	anmK	anhydro-N-acetylmuramic acid kinase	EC:2.7.1.170, GO:0005524, GO:0006040, GO:0009254, GO:0016301, GO:0016773, GO:0097175, RefSeq:WP_000835011.1, SO:0001217, UniParc:UPI00000CD080, UniRef:UniRef100_Q8ZPN1, UniRef:UniRef50_P77570, UniRef:UniRef90_Q8ZPN1
contig_1	cds	42391	42753	+	JJLLKI_00057	mliC	C-type lysozyme inhibitor	SO:0001217, UniParc:UPI000230A8FD, UniRef:UniRef100_A0A6C8GM81, UniRef:UniRef50_P28224, UniRef:UniRef90_A9MEH4
contig_1	cds	42812	43468	+	JJLLKI_00058	pdxH	pyridoxamine 5'-phosphate oxidase	COG:COG0259, COG:H, EC:1.4.3.5, GO:0004733, GO:0008615, GO:0010181, GO:0042823, RefSeq:WP_001282334.1, SO:0001217, UniParc:UPI00000CD082, UniRef:UniRef100_Q8ZPM9, UniRef:UniRef50_P0AFI7, UniRef:UniRef90_A6T9Y6
contig_1	cds	43595	44869	+	JJLLKI_00059	tyrS	tyrosine--tRNA ligase	COG:COG0162, COG:J, EC:6.1.1.1, GO:0000166, GO:0003723, GO:0004831, GO:0005524, GO:0005829, GO:0006437, KEGG:K01866, RefSeq:WP_000168626.1, SO:0001217, UniParc:UPI0000059E25, UniRef:UniRef100_Q7CQK7, UniRef:UniRef50_P0AGJ9, UniRef:UniRef90_P0AGJ9
contig_1	cds	44929	45789	+	JJLLKI_00060	pdxY	pyridoxal kinase PdxY	EC:2.7.1.35, GO:0000287, GO:0005524, GO:0005829, GO:0008478, GO:0009443, KEGG:K00868, RefSeq:WP_000789732.1, SO:0001217, UniParc:UPI00000CD083, UniRef:UniRef100_Q8ZPM8, UniRef:UniRef50_Q39I40, UniRef:UniRef90_Q0THJ1
contig_1	cds	45848	46453	-	JJLLKI_00061	gstA	glutathione transferase GstA	EC:2.5.1.18, GO:0005515, GO:0006749, RefSeq:WP_077464042.1, SO:0001217, UniParc:UPI0009879275, UniRef:UniRef100_A0A5I4TVV0, UniRef:UniRef50_P0A9D2, UniRef:UniRef90_Q8ZPM7
contig_1	cds	46558	48063	-	JJLLKI_00062	dtpA	dipeptide/tripeptide permease DtpA	COG:COG3104, COG:E, GO:0005886, GO:0015031, GO:0015333, GO:0015833, GO:0016020, GO:0035442, GO:0035443, GO:0042937, GO:0055085, GO:0071916, GO:1904680, RefSeq:WP_023181093.1, SO:0001217, UniParc:UPI0003BBD101, UniRef:UniRef100_A0A602PBZ5, UniRef:UniRef50_P77304, UniRef:UniRef90_P77304
contig_1	cds	48665	49300	-	JJLLKI_00063	nth	endonuclease III	COG:COG0177, COG:L, EC:4.2.99.18, GO:0003677, GO:0003906, GO:0006284, GO:0006285, GO:0019104, GO:0046872, GO:0051539, GO:0140078, RefSeq:WP_001030318.1, SO:0001217, UniParc:UPI00000CD086, UniRef:UniRef100_Q8ZPM5, UniRef:UniRef50_P0AB83, UniRef:UniRef90_P0AB83
contig_1	cds	49300	49992	-	JJLLKI_00064	rsxE	Ion-translocating oxidoreductase complex subunit E	EC:7.-.-.-, GO:0005886, GO:0022900, RefSeq:WP_001289628.1, SO:0001217, UniParc:UPI0000059E2A, UniRef:UniRef100_P65540, UniRef:UniRef50_P65540, UniRef:UniRef90_P65540
contig_1	cds	49995	50615	-	JJLLKI_00065	rsxG	electron transport complex subunit RsxG	EC:7.-.-.-, GO:0005886, GO:0009055, GO:0010181, GO:0016020, GO:0022900, RefSeq:WP_000920822.1, SO:0001217, UniParc:UPI00001343B1, UniRef:UniRef100_Q8ZPM4, UniRef:UniRef50_P77285, UniRef:UniRef90_Q8ZPM4
contig_1	cds	50619	51677	-	JJLLKI_00066	rsxD	electron transport complex subunit RsxD	EC:7.-.-.-, GO:0005886, GO:0016020, GO:0022900, GO:0055085, RefSeq:WP_000231885.1, SO:0001217, UniParc:UPI0001F8BFE9, UniRef:UniRef100_A0A5J0IF64, UniRef:UniRef50_P76182, UniRef:UniRef90_B5QV03
contig_1	cds	51678	53978	-	JJLLKI_00067	rsxC	electron transport complex subunit RsxC	EC:7.-.-.-, GO:0005886, GO:0009055, GO:0016020, GO:0022900, GO:0046872, GO:0051539, SO:0001217, UniParc:UPI000E072A73, UniRef:UniRef100_A0A5I4TSR4, UniRef:UniRef50_A8A0H2, UniRef:UniRef90_B4TV17
contig_1	cds	53971	54549	-	JJLLKI_00068	rsxB	electron transport complex subunit RsxB	EC:7.-.-.-, GO:0005886, GO:0009055, GO:0022900, GO:0046872, GO:0051536, GO:0051539, RefSeq:WP_001092600.1, SO:0001217, UniParc:UPI0000059E2E, UniRef:UniRef100_B5F6I9, UniRef:UniRef50_P77223, UniRef:UniRef90_B5F6I9
contig_1	cds	54549	55130	-	JJLLKI_00069	rsxA	electron transport complex subunit RsxA	COG:C, COG:COG4657, EC:7.-.-.-, GO:0005886, GO:0016020, GO:0022900, KEGG:K03617, RefSeq:WP_000133179.1, SO:0001217, UniParc:UPI0000059E2F, UniRef:UniRef100_P65542, UniRef:UniRef50_P0A766, UniRef:UniRef90_P0A766
contig_1	cds	55207	55647	-	JJLLKI_00070		DUF2569 domain-containing protein	RefSeq:WP_000214061.1, SO:0001217, UniParc:UPI0000059E30, UniRef:UniRef100_Q7CQK6, UniRef:UniRef50_A0A090V4A7, UniRef:UniRef90_A8AH07
contig_1	cds	55736	55951	-	JJLLKI_00071	ydgT	transcription modulator YdgT	GO:0003677, KEGG:K05839, RefSeq:WP_000217946.1, SO:0001217, UniParc:UPI0000059E31, UniRef:UniRef100_A0A0H3NGF1, UniRef:UniRef50_A0A0H3NGF1, UniRef:UniRef90_A0A0H3NGF1
contig_1	cds	56583	57623	+	JJLLKI_00072		Oxidoreductase	RefSeq:WP_000998242.1, SO:0001217, UniParc:UPI00016089AB, UniRef:UniRef100_Q8ZPM0, UniRef:UniRef50_P77376, UniRef:UniRef90_Q8ZPM0
contig_1	cds	57698	58699	-	JJLLKI_00073	add	adenosine deaminase	COG:COG1816, COG:F, EC:3.5.4.4, GO:0004000, GO:0005829, GO:0006154, GO:0008270, GO:0009117, GO:0009168, GO:0043103, GO:0046103, GO:0046936, RefSeq:WP_000565566.1, SO:0001217, UniParc:UPI0000059E33, UniRef:UniRef100_Q8Z6R2, UniRef:UniRef50_P22333, UniRef:UniRef90_Q8Z6R2
contig_1	cds	59404	60912	-	JJLLKI_00074	ydgA	YdgA family protein	RefSeq:WP_000753334.1, SO:0001217, UniParc:UPI00016047A9, UniRef:UniRef100_A0A603BLK4, UniRef:UniRef50_P77804, UniRef:UniRef90_B5RAJ5
contig_1	cds	61015	62190	-	JJLLKI_00075	manA	mannose-6-phosphate isomerase	EC:5.3.1.8, GO:0004476, GO:0005829, GO:0005975, GO:0008270, GO:0009298, RefSeq:WP_064000967.1, SO:0001217, UniParc:UPI0007C8DDFF, UniRef:UniRef100_A0A5U2Q569, UniRef:UniRef50_P25081, UniRef:UniRef90_P25081
contig_1	cds	62390	64036	+	JJLLKI_00076	fumB	class I fumarate hydratase	BlastRules:WP_000066639, BlastRules:WP_000066707, COG:C, COG:COG1951, EC:4.2.1.2, GO:0004333, GO:0006099, GO:0046872, GO:0050163, GO:0051539, KEGG:K01676, RefSeq:WP_000066609.1, SO:0001217, UniParc:UPI000169F89C, UniRef:UniRef100_A0A5Y3QDI2, UniRef:UniRef50_P0AC33, UniRef:UniRef90_P40720
contig_1	cds	64204	65607	+	JJLLKI_00077	fumC	class II fumarate hydratase	COG:C, COG:COG0114, EC:4.2.1.2, GO:0004333, GO:0005737, GO:0006099, GO:0006106, GO:0006108, GO:0045239, KEGG:K01679, RefSeq:WP_001580141.1, SO:0001217, UniParc:UPI000230A8F4, UniRef:UniRef100_A0A623MCJ0, UniRef:UniRef50_P05042, UniRef:UniRef90_P05042
contig_1	cds	65604	66533	-	JJLLKI_00078	tus	DNA replication terminus site-binding protein	GO:0003677, GO:0005737, GO:0006274, KEGG:K10748, RefSeq:WP_001580140.1, SO:0001217, UniParc:UPI000230A8F3, UniRef:UniRef100_A0A6C8GN56, UniRef:UniRef50_P16525, UniRef:UniRef90_O52714
contig_1	cds	66609	67910	-	JJLLKI_00079	rstB	two-component system sensor histidine kinase RstB	EC:2.7.13.3, GO:0000155, GO:0007165, GO:0016020, GO:0016310, KEGG:K07639, RefSeq:WP_058107761.1, SO:0001217, UniParc:UPI00030B89D8, UniRef:UniRef100_A0A5I4TVX0, UniRef:UniRef50_A0A3N0G4L4, UniRef:UniRef90_Q8ZPL6
contig_1	cds	68021	69721	-	JJLLKI_00080		Amidohydrolase 3 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0K0HAH3, UniRef:UniRef90_A0A0K0HAH3
contig_1	cds	69880	71031	-	JJLLKI_00081		Porin	RefSeq:WP_023221329.1, SO:0001217, UniParc:UPI0003BCBE3C, UniRef:UniRef100_A0A701SDR4, UniRef:UniRef50_P02931, UniRef:UniRef90_A0A5T6CU49
contig_1	cds	71510	72241	-	JJLLKI_00082	rstA	two-component system response regulator RstA	GO:0000160, GO:0003677, GO:0006355, KEGG:K07661, RefSeq:WP_001080048.1, SO:0001217, UniParc:UPI00000CD08C, UniRef:UniRef100_Q8ZPL3, UniRef:UniRef50_P52108, UniRef:UniRef90_A9MRU6
contig_1	cds	72368	72703	+	JJLLKI_00083	glpM	GlpM family protein	KEGG:K02442, RefSeq:WP_000524877.1, SO:0001217, UniParc:UPI0000059E3E, UniRef:UniRef100_A0A4Z0KKF9, UniRef:UniRef50_P0ACX0, UniRef:UniRef90_A8AGY6
