# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	17460	17834	+	JJLLKI_00025	254.0	1.7e-89	1.0	1.0	1.0	BlastRules:WP_001223304
contig_1	cds	17815	18783	+	JJLLKI_00026	666.0	4.7e-246	1.0	1.0	0.997	BlastRules:WP_000944192
contig_1	cds	18851	19498	+	JJLLKI_00027	401.0	1.3e-144	1.0	1.0	1.0	BlastRules:WP_000056367
contig_1	cds	19495	19761	+	JJLLKI_00028	159.0	5.8e-53	1.0	1.0	1.0	BlastRules:WP_000999982
contig_1	cds	19762	20541	+	JJLLKI_00029	496.0	8.5e-181	1.0	1.0	0.988	BlastRules:WP_000068764
contig_1	cds	20538	21596	+	JJLLKI_00030	648.0	7.0e-238	1.0	1.0	0.989	BlastRules:WP_001291716
contig_1	tRNA	21754	21830	-	JJLLKI_00031	85.6	-	-	-	-	-
contig_1	tRNA	21841	21917	-	JJLLKI_00032	82.5	-	-	-	-	-
contig_1	cds	22069	23442	-	JJLLKI_00033	877.0	0.0	1.0	1.0	0.998	BlastRules:WP_001175077
contig_1	cds	23659	24300	+	JJLLKI_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPP1
contig_1	cds	24342	25490	-	JJLLKI_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQL0
contig_1	cds	25780	26985	-	JJLLKI_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W7MRP3
contig_1	cds	27098	28030	+	JJLLKI_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W5H2Y5
contig_1	cds	28027	29052	-	JJLLKI_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6L7
contig_1	ncRNA	29053	29440	+	JJLLKI_00039	478.8	3.0e-53	-	-	-	RFAM:RF02081
contig_1	cds	29348	29437	+	JJLLKI_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Z4JJZ7
contig_1	cds	29520	30101	-	JJLLKI_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2F4
contig_1	cds	30228	31049	-	JJLLKI_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0007361D29
contig_1	cds	31385	31732	+	JJLLKI_00043	229.0	7.1e-80	1.0	1.0	0.974	BlastRules:WP_000108172
contig_1	cds	31810	32457	-	JJLLKI_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A9MEI6
contig_1	cds	32558	32965	-	JJLLKI_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A1Q2
contig_1	cds	33034	34131	-	JJLLKI_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5H9Y8F9
contig_1	cds	34190	34789	-	JJLLKI_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GMS5
contig_1	cds	34892	35131	+	JJLLKI_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPN6
contig_1	cds	35182	36078	+	JJLLKI_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A626AV34
contig_1	cds	36158	36679	+	JJLLKI_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A379S3A0
contig_1	cds	36655	38694	-	JJLLKI_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I3K8E5
contig_1	cds	38694	39554	-	JJLLKI_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W7MNI4
contig_1	cds	39557	39793	-	JJLLKI_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPN2
contig_1	cds	39994	40428	+	JJLLKI_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A447MT96
contig_1	cds	40476	40943	-	JJLLKI_00055	226.0	2.2e-77	1.0	1.0	1.0	BlastRules:WP_000597179
contig_1	cds	41215	42336	+	JJLLKI_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPN1
contig_1	cds	42391	42753	+	JJLLKI_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GM81
contig_1	cds	42812	43468	+	JJLLKI_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPM9
contig_1	cds	43595	44869	+	JJLLKI_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQK7
contig_1	cds	44929	45789	+	JJLLKI_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPM8
contig_1	cds	45848	46453	-	JJLLKI_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4TVV0
contig_1	cds	46558	48063	-	JJLLKI_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A602PBZ5
contig_1	cds	48665	49300	-	JJLLKI_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPM5
contig_1	cds	49300	49992	-	JJLLKI_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P65540
contig_1	cds	49995	50615	-	JJLLKI_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPM4
contig_1	cds	50619	51677	-	JJLLKI_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5J0IF64
contig_1	cds	51678	53978	-	JJLLKI_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4TSR4
contig_1	cds	53971	54549	-	JJLLKI_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F6I9
contig_1	cds	54549	55130	-	JJLLKI_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P65542
contig_1	cds	55207	55647	-	JJLLKI_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQK6
contig_1	cds	55736	55951	-	JJLLKI_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0H3NGF1
contig_1	cds	56583	57623	+	JJLLKI_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPM0
contig_1	cds	57698	58699	-	JJLLKI_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8Z6R2
contig_1	cds	59404	60912	-	JJLLKI_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A603BLK4
contig_1	cds	61015	62190	-	JJLLKI_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5U2Q569
contig_1	cds	62390	64036	+	JJLLKI_00076	1066.0	0.0	1.0	1.0	0.958	BlastRules:WP_000066639
contig_1	cds	64204	65607	+	JJLLKI_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A623MCJ0
contig_1	cds	65604	66533	-	JJLLKI_00078	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GN56
contig_1	cds	66609	67910	-	JJLLKI_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4TVX0
contig_1	cds	68021	69721	-	JJLLKI_00080	1116.0	0.0	1.028	1.0	0.973	UniRef:UniRef90_A0A0K0HAH3
contig_1	cds	69880	71031	-	JJLLKI_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A701SDR4
contig_1	cds	71510	72241	-	JJLLKI_00082	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPL3
contig_1	cds	72368	72703	+	JJLLKI_00083	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Z0KKF9
contig_1	cds	72765	74147	-	JJLLKI_00084	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQK4
contig_1	cds	74446	75390	-	JJLLKI_00085	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPL1
contig_1	cds	75917	77446	+	JJLLKI_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W5AML5
contig_1	cds	77457	78845	+	JJLLKI_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQK3
contig_1	cds	79020	80054	-	JJLLKI_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GN70
contig_1	cds	80471	80833	+	JJLLKI_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQK1
contig_1	cds	80820	81149	+	JJLLKI_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GP36
contig_1	cds	81184	82005	-	JJLLKI_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3T7X8F3
contig_1	cds	82274	82525	-	JJLLKI_00092	-	-	-	-	-	NCBIFam:NF033636.1
contig_1	cds	82761	82853	+	JJLLKI_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8E6KU50
contig_1	cds	82920	84173	-	JJLLKI_00094	785.0	9.4e-286	1.060	1.0	0.941	UniRef:UniRef90_Q8X784
contig_1	cds	84293	85192	+	JJLLKI_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPK8
contig_1	cds	85320	86540	+	JJLLKI_00096	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W1VPW7
contig_1	cds	86666	87361	+	JJLLKI_00097	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPK6
contig_1	cds	87317	88570	-	JJLLKI_00098	770.0	1.1e-279	1.0	0.927	0.981	UniRef:UniRef90_Q8ZPK5
contig_1	cds	88742	89890	-	JJLLKI_00099	755.0	4.4e-279	1.0	1.0	0.995	BlastRules:WP_000593086
contig_1	cds	89890	90537	-	JJLLKI_00100	397.0	3.1e-143	1.0	1.0	0.995	BlastRules:WP_000379677
contig_1	cds	90547	91449	-	JJLLKI_00101	590.0	1.3e-216	1.0	1.0	1.0	BlastRules:WP_001211193
contig_1	cds	91478	92188	-	JJLLKI_00102	444.0	5.5e-161	1.0	1.0	1.0	BlastRules:WP_000557304
contig_1	cds	92493	93107	-	JJLLKI_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A637CVL0
contig_1	cds	93150	94007	-	JJLLKI_00104	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W7YYS9
contig_1	cds	94009	94626	-	JJLLKI_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPJ8
contig_1	cds	94637	97072	-	JJLLKI_00106	1644.0	0.0	1.002	1.0	0.993	UniRef:UniRef90_A0A9Q7ZSH8
contig_1	cds	97171	99609	-	JJLLKI_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A616M6E0
contig_1	cds	99766	100071	-	JJLLKI_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPJ5
contig_1	cds	100211	100888	+	JJLLKI_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4U2H6
contig_1	cds	100929	101489	-	JJLLKI_00110	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPJ3
contig_1	cds	101525	101866	-	JJLLKI_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQJ7
contig_1	cds	102010	102345	+	JJLLKI_00112	226.0	5.1e-75	1.0	0.917	0.991	UniRef:UniRef90_G5LP42
contig_1	cds	102467	103681	+	JJLLKI_00113	822.0	1.0e-304	1.0	1.0	0.950	BlastRules:WP_001295394
contig_1	cds	103692	104711	+	JJLLKI_00114	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GNH6
contig_1	cds	104765	106144	+	JJLLKI_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GP77
contig_1	cds	106288	107754	+	JJLLKI_00116	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4U042
contig_1	cds	107821	108024	-	JJLLKI_00117	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQJ6
contig_1	cds	108205	108891	-	JJLLKI_00118	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5V6NI76
contig_1	cds	109021	109767	-	JJLLKI_00119	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69936
contig_1	cds	109906	111948	+	JJLLKI_00120	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W1RIK5
contig_1	cds	112293	112475	+	JJLLKI_00121	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQJ4
contig_1	cds	112595	113122	-	JJLLKI_00122	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPI7
contig_1	cds	113549	113941	+	JJLLKI_00123	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPI6
contig_1	ncRNA	114076	114294	+	JJLLKI_00124	204.1	1.1e-33	-	-	-	RFAM:RF01407
contig_1	cds	114288	114383	-	JJLLKI_00125	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3R0BE33
contig_1	cds	114631	115818	-	JJLLKI_00126	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5W1UE61
contig_1	cds	116046	116948	+	JJLLKI_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A637CUI9
contig_1	cds	117067	117276	-	JJLLKI_00128	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A214
contig_1	cds	117311	117694	-	JJLLKI_00129	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2S4
contig_1	cds	117714	118148	-	JJLLKI_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2T4
contig_1	cds	118407	119072	+	JJLLKI_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A2L5
contig_1	cds	119119	120309	-	JJLLKI_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B5F613
contig_1	cds	120425	121297	-	JJLLKI_00133	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GMW8
contig_1	cds	121400	122788	+	JJLLKI_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5U2QQ83
contig_1	cds	122861	123787	+	JJLLKI_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPI2
contig_1	cds	123787	124146	+	JJLLKI_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPI1
contig_1	cds	124369	125316	+	JJLLKI_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPI0
contig_1	cds	125372	125899	-	JJLLKI_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPH9
contig_1	cds	126631	127749	+	JJLLKI_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V9FEA2
contig_1	cds	127879	128220	-	JJLLKI_00140	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A616M6G3
contig_1	cds	128233	129120	-	JJLLKI_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A618J6X3
contig_1	cds	129108	130169	-	JJLLKI_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A608ZBG3
contig_1	cds	130187	130597	-	JJLLKI_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5X8JTE4
contig_1	cds	130594	130893	-	JJLLKI_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V8KKL5
contig_1	cds	130893	131501	-	JJLLKI_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Z3HV58
contig_1	cds	131507	132181	-	JJLLKI_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPH1
contig_1	cds	132201	134003	-	JJLLKI_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S0ZK02
contig_1	cds	134006	135109	-	JJLLKI_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPG9
contig_1	cds	135237	135389	-	JJLLKI_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A455SD02
contig_1	cds	135541	136629	+	JJLLKI_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5H9Y6W2
contig_1	cds	136795	137466	+	JJLLKI_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A455S7D3
contig_1	cds	137525	138550	-	JJLLKI_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3U4AS47
contig_1	cds	138525	139811	-	JJLLKI_00153	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPG6
contig_1	cds	139988	141478	-	JJLLKI_00154	965.0	0.0	0.984	0.912	0.969	UniRef:UniRef90_V7IMV5
contig_1	cds	141614	142855	-	JJLLKI_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5V3Q0H9
contig_1	cds	142845	144353	-	JJLLKI_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A631QHY9
contig_1	cds	144398	144886	+	JJLLKI_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPG2
contig_1	cds	145079	146152	+	JJLLKI_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5H9Y742
contig_1	cds	146210	146599	-	JJLLKI_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GN05
contig_1	cds	146787	147047	-	JJLLKI_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V3A3T1
contig_1	cds	147405	147737	+	JJLLKI_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Y2DBW2
contig_1	ncRNA	147971	148264	-	JJLLKI_00162	370.0	2.8e-48	-	-	-	RFAM:RF01389
contig_1	cds	148026	148307	-	JJLLKI_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Z3G603
contig_1	cds	148595	150058	-	JJLLKI_00164	924.0	0.0	0.996	0.964	0.988	UniRef:UniRef90_A0A3G3DYN2
contig_1	cds	150346	151326	+	JJLLKI_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Y5ZBG6
contig_1	cds	151470	152921	+	JJLLKI_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_V7IP20
contig_1	cds	152934	154136	+	JJLLKI_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3U3AJB0
contig_1	cds	154249	156324	-	JJLLKI_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5U9HWS7
contig_1	cds	156381	158909	-	JJLLKI_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Z1AS53
contig_1	cds	158906	160690	-	JJLLKI_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V1M382
contig_1	cds	160819	161604	-	JJLLKI_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3Z0IWL2
contig_1	cds	161747	162076	-	JJLLKI_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQI8
contig_1	cds	162426	162857	-	JJLLKI_00173	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQJ1
contig_1	cds	163369	163584	+	JJLLKI_00174	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P65641
contig_1	cds	163679	163822	+	JJLLKI_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQJ0
contig_1	cds	163999	165696	+	JJLLKI_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPE8
contig_1	cds	165988	166998	+	JJLLKI_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQI9
contig_1	cds	167089	167745	-	JJLLKI_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPE7
contig_1	cds	167738	168622	-	JJLLKI_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPE6
contig_1	cds	168636	171683	-	JJLLKI_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5H9Y847
contig_1	ncRNA-region	171043	171101	-	-	84.4	2.3e-13	-	-	-	RFAM:RF01989
contig_1	cds	171961	172842	+	JJLLKI_00181	571.0	2.2e-209	1.0	1.0	0.993	BlastRules:WP_000198205
contig_1	cds	173367	174449	+	JJLLKI_00182	608.0	9.8e-222	1.011	1.006	0.860	BlastRules:WP_000769035
contig_1	cds	174533	174973	+	JJLLKI_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GNH9
contig_1	cds	174998	176485	-	JJLLKI_00184	867.0	1.0e-319	1.002	1.0	0.978	BlastRules:WP_114508864
contig_1	cds	176603	177181	+	JJLLKI_00185	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GNG2
contig_1	cds	177396	178784	+	JJLLKI_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A606YGP9
contig_1	cds	178876	182616	+	JJLLKI_00187	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A724N9H0
contig_1	cds	182613	184157	+	JJLLKI_00188	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5H9Y833
contig_1	cds	184157	184852	+	JJLLKI_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3U5CP59
contig_1	cds	184849	185529	+	JJLLKI_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPD8
contig_1	cds	185634	186527	+	JJLLKI_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5X3QZF0
contig_1	cds	186563	187408	-	JJLLKI_00192	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GPG5
contig_1	cds	187692	188324	-	JJLLKI_00193	419.0	4.3e-152	1.0	1.0	0.976	BlastRules:WP_001147134
contig_1	cds	188837	190330	+	JJLLKI_00194	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5T8Q8Z2
contig_1	cds	190407	190628	-	JJLLKI_00195	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQI7
contig_1	cds	190773	191834	-	JJLLKI_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V4M8E7
contig_1	cds	192053	194218	+	JJLLKI_00197	1424.0	0.0	1.018	1.0	0.973	UniRef:UniRef90_A9MQZ4
contig_1	cds	194285	194950	-	JJLLKI_00198	424.0	1.5e-153	1.0	1.0	1.0	BlastRules:WP_001119592
contig_1	cds	195284	196321	-	JJLLKI_00199	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A756T3C8
contig_1	cds	196546	197061	+	JJLLKI_00200	355.0	6.3e-128	1.0	1.0	1.0	BlastRules:WP_000155373
contig_1	cds	197061	197510	+	JJLLKI_00201	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GP14
contig_1	cds	197515	197748	-	JJLLKI_00202	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8ZPD2
contig_1	cds	197974	199305	+	JJLLKI_00203	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4U1P1
contig_1	cds	199310	202291	+	JJLLKI_00204	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3V2TNT8
contig_1	cds	202288	204432	+	JJLLKI_00205	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4TZW8
contig_1	cds	204477	204650	-	JJLLKI_00206	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5Y0MFH9
contig_1	cds	205049	206473	-	JJLLKI_00207	944.0	0.0	1.0	0.960	0.998	UniRef:UniRef90_Q8ZPC9
contig_1	cds	206609	208033	-	JJLLKI_00208	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GNJ0
contig_1	cds	208169	208939	-	JJLLKI_00209	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GP24
contig_1	cds	209198	209482	-	JJLLKI_00210	-	-	-	-	-	-
contig_1	cds	209463	209861	-	JJLLKI_00211	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5Z4R6Q9
contig_1	cds	210377	211327	+	JJLLKI_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5I4U217
contig_1	cds	211601	211831	+	JJLLKI_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q7CQH9
contig_1	cds	211832	213796	-	JJLLKI_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6C8GNV4
contig_1	cds	213875	214411	-	JJLLKI_00215	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3U2ZT42
